product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/bruton-lite-sports-shoes-running-men/p/itm223d4d611fb99?pid=SHOGPRSVSAVXK6HH&lid=LSTSHOGPRSVSAVXK6HHTJEWPS&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGP8WjTWLKgqCZUiHb6x7xhcGvgmgbO8wAl8KcAPbPtEg%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Lite Sports Shoes Running Shoes For Men,BRUTON ,500,0.79,3.9,47169
https://www.flipkart.com/action-athleo-atg-424-light-weight-comfortable-trendy-running-breathable-gym-walking-shoes-men/p/itm05ba4c824036e?pid=SHOGAFP5NWZK4PPA&lid=LSTSHOGAFP5NWZK4PPAFQ37EF&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGAkMrwc6D5PDaaraHpI9oWZJk_bny3V2PDNeAJHaZTg_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"Athleo ATG-424 Light Weight,Comfortable,Trendy,Running, Breathable,Gym Walking Shoes For Men",action ,549,0.71,4.1,87385
https://www.flipkart.com/aeonik-white-high-premium-quality-running-shoes-men/p/itm211ab9e3debb0?pid=SHOH2TRHZUMJQEMQ&lid=LSTSHOH2TRHZUMJQEMQTAWYJK&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMELoct-EBIb0e2xNZyNtv9DO-m0SD3gulAEVOzSc8P5zg%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,WHITE HIGH PREMIUM QUALITY Running Shoes For Men,Aeonik ,500,0.74,3.7,11488
https://www.flipkart.com/dsc-beamer-cricket-shoe-size-10uk-11us-44eu-lightweight-highly-durable-shoes-men/p/itm75b9ab1e0e7b2?pid=SHOFK87PXZH37RE5&lid=LSTSHOFK87PXZH37RE5ILOD0C&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOFK87PXZH37RE5.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"DSC Beamer Cricket Shoe, Size: 10UK/11US/44EU, Lightweight & Highly Durable Cricket Shoes For Men",DSC ,501,0.44,4.2,15874
https://www.flipkart.com/winprice-running-shoes-men/p/itm20c37b5cd5ae7?pid=SHOG5H3BUBHSGAVZ&lid=LSTSHOG5H3BUBHSGAVZ7GYIPR&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOG5H3BUBHSGAVZ.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Running shoes for men Running Shoes For Men,Winprice ,419,0.58,3.8,39
https://www.flipkart.com/red-tape-athleisure-sport-shoes-men-classic-rounded-toe-impact-cushioning-walking/p/itm3f759eac8b470?pid=SHOGYYZGQ5TGGTFV&lid=LSTSHOGYYZGQ5TGGTFV2XCNNW&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGYYZGQ5TGGTFV.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"Athleisure Sport Shoes for Men |Classic Rounded Toe, Impact Cushioning Walking Shoes For Men",RED TAPE ,2309,0.7,4.2,14360
https://www.flipkart.com/birde-premium-lightweight-comfortable-regular-wear-walking-shoes-men/p/itm187a24f0950e9?pid=SHOGZH39ZZBK8YSN&lid=LSTSHOGZH39ZZBK8YSNYRXCTB&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGmSi2qvICE7Gi_4UgGYls5N_aVDjzTvzAWhnmLNhwohQ%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Premium Lightweight Comfortable Regular Wear Walking Shoes For Men,Birde ,500,0.66,4,54184
https://www.flipkart.com/urbanbox-running-shoes-walking-sports-men/p/itme64898a7d0529?pid=SHOH9NEHAUH7CWP7&lid=LSTSHOH9NEHAUH7CWP7LZLPZG&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMEpohzfFylCo84qckBpWuvrHQYdwgYIs25InsuwluD_qw%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Running Shoes Walking Sports Shoes Running Shoes For Men,URBANBOX ,478,0.76,3.7,605
https://www.flipkart.com/abros-avalon-on-running-shoes-men/p/itm8568597108f5d?pid=SHOGZV4VQYBEHFJU&lid=LSTSHOGZV4VQYBEHFJUF3NLVK&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&spotlightTagId=default_TrendingId_osp%2Fcil%2F1cu&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGZV4VQYBEHFJU.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,AVALON-ON Running Shoes For Men,Abros ,1211,0.59,4,801
https://www.flipkart.com/dartkick-men-s-stylish-lace-up-sports-shoes-party-wear-men/p/itmef846812500fb?pid=SHOHEZHBUUGNQTEU&lid=LSTSHOHEZHBUUGNQTEUJTZJVH&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOHEZHBUUGNQTEU.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,DARTKICK Men's Stylish Lace-Up Sports Shoes Party Wear For Men,DARTKICK ,449,0.55,,
